ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MedianRadius	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
1	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	20127	449.0	461.0	1.0	11.512885799030736	0.9938247718663372	1.0	0.11507718696397942	0.03892385501029129	761.669857836595	596.395841702472	38.27531841800928	9.055385138137417	2549.098000000011	0.4007526432112777	1	310.399065931336	388.08138321657475	0	1	1
1	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	3141	860.0	462.0	1.0	1.0484591022902896	0.5507488302291064	1.0	0.7022132796780685	0.8426259990360044	70.23101671251978	70.71067811865476	27.294688127912362	8.94427190999916	216.43199999999945	0.9544211485870556	1	856.1661891117478	461.56701687360714	0	2	2
1	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	35614	1304.0	930.0	1.0	1.3017640140784654	0.7191598484269051	1.0	0.5589139987445072	0.19136039419403855	281.5686896303678	314.1973901864877	75.8023746329889	22.825424421026653	1529.2879999999957	0.7966624910522548	1	1290.0803335766834	930.9541753243107	0	3	3
1	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	16405	340.0	929.0	1.0	1.2215322931560095	0.8099662170382366	1.0	0.5918109668109668	0.06097118931024608	194.48303645407037	216.8985938174796	51.24451190127583	14.142135623730951	1838.7839999999949	0.8094439236196773	1	339.54971045412987	938.9754952758306	0	4	4
2	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	10	A01	A01	17576	230.0	104.0	1.0	1.6698762513338086	0.89498065728945	1.0	0.44156366194352326	0.09315201462048804	249.15726090429482	234.09613409879285	49.64876634922564	12.041594578792296	1539.8159999999948	0.7705561279291523	1	273.5522872098316	79.52457897132453	0	1	1
2	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	10	A01	A01	35708	1243.0	188.0	1.0	1.327643177100912	0.8755668315897113	1.0	0.5067336483744164	0.22930746517362652	312.1881528211946	355.2182427747764	73.10950690573696	24.186773244895647	1398.8739999999955	0.9321777267268834	1	1249.2465833986782	202.73980620589225	0	2	2
2	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	10	A01	A01	45164	356.0	245.0	1.0	1.2438286159787884	0.8234305632410036	1.0	0.6186849315068493	0.23444629139093856	328.24565304611764	366.77104574925215	85.37564055396598	27.586228448267445	1555.8919999999946	0.9099407664101221	1	360.5009963687893	220.35479585510583	0	3	3
2	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	10	A01	A01	44051	94.0	262.0	1.0	1.1858327662634842	0.820270926468564	1.0	0.6669139465875371	0.12882785350189307	315.9121753428068	343.96075357517174	88.81441324469807	27.0	2072.897999999995	0.910935108978866	1	94.33538398674264	276.9780254704774	0	4	4
2	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	10	A01	A01	70147	275.0	491.0	1.0	1.2287258670093704	0.7459221952493978	1.0	0.5259184285500075	0.07469267215160014	389.05765684106103	467.0267658282553	107.05606008068857	28.284271247461902	3435.346000000045	0.84142406467787	1	277.8748057650363	460.58462942107286	0	5	5
2	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	10	A01	A01	40442	1182.0	892.0	1.0	1.3646740371580346	0.7345521442781953	1.0	0.4508031345097034	0.07893259887630431	309.54665505302745	360.6008874087805	80.75270893288967	20.248456731316587	2537.424000000017	0.6757621581880311	1	1161.2505068987687	882.2994906285545	0	6	6
